step,stage,position_id,selected_move,cp_best,cp_move,regret_cp,raw_signal,running_signal_mean,centered_advantage,applied_advantage,mate_flag,mate_distance,selected_is_teacher_best,control,pass_kind,eligibility_mean_abs,rms_log_ratio,elapsed_s
87,movement,movement_0087,c2a1,100.0,-100.0,200.0,0.07576568547998053,0.23778427862554297,-0.17054588752164468,-0.17054588752164468,1,,0,frozen,curriculum,,0.0,966.3192582000047
88,movement,movement_0088,c3a1,100.0,100.0,0.0,1.0,0.27589506469426583,0.762215721374457,0.762215721374457,1,,1,frozen,curriculum,,0.0,968.3550565999467
89,movement,movement_0089,a2a1,100.0,100.0,0.0,1.0,0.3121003114595525,0.7241049353057342,0.7241049353057342,1,,1,frozen,curriculum,,0.0,970.457692499971
90,movement,movement_0090,h2a1,100.0,-100.0,200.0,0.07576568547998053,0.3002835801605739,-0.236334625979572,-0.236334625979572,1,,0,frozen,curriculum,,0.0,972.4591480999952
91,movement,movement_0091,a1b3,100.0,100.0,0.0,1.0,0.33526940115254517,0.6997164198394261,0.6997164198394261,1,,1,frozen,curriculum,,0.0,974.1549952999922
92,movement,movement_0092,d6a1,100.0,-100.0,200.0,0.07576568547998053,0.3222942153689169,-0.25950371567256464,-0.25950371567256464,1,,0,frozen,curriculum,,0.0,976.4755728000309
93,movement,movement_0093,a4a1,100.0,100.0,0.0,1.0,0.35617950460047104,0.6777057846310831,0.6777057846310831,1,,1,frozen,curriculum,,0.0,978.8638201999711
94,movement,movement_0094,g2a1,100.0,-100.0,200.0,0.07576568547998053,0.3421588136444465,-0.2804138191204905,-0.2804138191204905,1,,0,frozen,curriculum,,0.0,980.9885685999179
95,movement,movement_0095,g5g6,100.0,100.0,0.0,1.0,0.37505087296222417,0.6578411863555536,0.6578411863555536,1,,1,frozen,curriculum,,0.0,983.0273358999984
96,movement,movement_0096,c2a1,100.0,-100.0,200.0,0.07576568547998053,0.36008661358811195,-0.29928518748224364,-0.29928518748224364,1,,0,frozen,curriculum,,0.0,984.559476400027
97,movement,movement_0097,b8a1,100.0,-100.0,200.0,0.07576568547998053,0.34587056718270537,-0.2843209281081314,-0.2843209281081314,1,,0,frozen,curriculum,,0.0,986.448461299995
98,movement,movement_0098,c3a1,100.0,100.0,0.0,1.0,0.3785770388235701,0.6541294328172946,0.6541294328172946,1,,1,frozen,curriculum,,0.0,988.5200484999223
99,movement,movement_0099,c3a1,100.0,-100.0,200.0,0.07576568547998053,0.36343647115639055,-0.30281135334358955,-0.30281135334358955,1,,0,frozen,curriculum,,0.0,990.6757624000311
100,movement,movement_0100,d2a1,100.0,-100.0,200.0,0.07576568547998053,0.34905293187257,-0.28767078567641,-0.28767078567641,1,,0,frozen,curriculum,,0.0,992.8322913999436
101,movement,movement_0101,a7a1,100.0,-100.0,200.0,0.07576568547998053,0.33538856955294055,-0.2732872463925895,-0.2732872463925895,1,,0,frozen,curriculum,,0.0,995.086779300007
102,movement,movement_0102,a2a1,100.0,-100.0,200.0,0.07576568547998053,0.3224074253492925,-0.25962288407296,-0.25962288407296,1,,0,frozen,curriculum,,0.0,996.7527929999633
103,movement,movement_0103,f4a1,100.0,-100.0,200.0,0.07576568547998053,0.3100753383558269,-0.24664173986931198,-0.24664173986931198,1,,0,frozen,curriculum,,0.0,998.7162867999868
104,movement,movement_0104,d6a1,100.0,-100.0,200.0,0.07576568547998053,0.29835985571203455,-0.23430965287584637,-0.23430965287584637,1,,0,frozen,curriculum,,0.0,1000.7808963999851
105,movement,movement_0105,h8a1,100.0,-100.0,200.0,0.07576568547998053,0.28723014720043183,-0.22259417023205402,-0.22259417023205402,1,,0,frozen,curriculum,,0.0,1003.2302241999423
