game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_001_opening_017_0,matchup_001,opening_017,rnbqkbnr/p1p3pp/1p1pp3/5pP1/P3P3/8/1PPP1P1P/RNBQKBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.30613739998079836,complete,,17
matchup_001_opening_017_1,matchup_001,opening_017,rnbqkbnr/p1p3pp/1p1pp3/5pP1/P3P3/8/1PPP1P1P/RNBQKBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.3115490999771282,complete,,17
matchup_001_opening_018_0,matchup_001,opening_018,rnbqkb1r/ppp2ppp/3pp3/3P1n2/8/6PP/PPP1PP2/RNBQKBNR w KQkq - 1 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.27866859995992854,complete,,18
matchup_001_opening_018_1,matchup_001,opening_018,rnbqkb1r/ppp2ppp/3pp3/3P1n2/8/6PP/PPP1PP2/RNBQKBNR w KQkq - 1 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.29257230000803247,complete,,18
matchup_001_opening_019_0,matchup_001,opening_019,rnb1kbnr/1pqppp1p/2p5/p5p1/3P4/1QP4P/PP2PPP1/RNB1KBNR w KQkq - 0 5,0,minic,Level=1,minic,Level=2,1/2-1/2,0.5,80,0.2538806999800727,complete,,19
matchup_001_opening_019_1,matchup_001,opening_019,rnb1kbnr/1pqppp1p/2p5/p5p1/3P4/1QP4P/PP2PPP1/RNB1KBNR w KQkq - 0 5,1,minic,Level=2,minic,Level=1,1/2-1/2,0.5,80,0.2791643000091426,complete,,19
matchup_002_opening_000_0,matchup_002,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.3452163999900222,complete,,0
matchup_002_opening_000_1,matchup_002,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.30463610001606867,complete,,0
matchup_002_opening_001_0,matchup_002,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.27950820000842214,complete,,1
matchup_002_opening_001_1,matchup_002,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.29060219996608794,complete,,1
matchup_002_opening_002_0,matchup_002,opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.2965682999929413,complete,,2
matchup_002_opening_002_1,matchup_002,opening_002,rnb1kbnr/pppp1p1p/5qp1/4p3/7P/1P3PP1/P1PPP3/RNBQKBNR w KQkq - 0 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.27592509996611625,complete,,2
matchup_002_opening_003_0,matchup_002,opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.2751443000161089,complete,,3
matchup_002_opening_003_1,matchup_002,opening_003,rnbqk1nr/1ppp1ppp/1b2p3/p7/P7/2P2P1P/1P1PP1P1/RNBQKBNR w KQkq - 1 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.2806205000379123,complete,,3
matchup_002_opening_004_0,matchup_002,opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.28724370000418276,complete,,4
matchup_002_opening_004_1,matchup_002,opening_004,rnbqkbnr/2ppp1p1/1p3p2/p6p/2P5/4P2P/PP1PKPP1/RNBQ1BNR w kq - 0 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.2848606000188738,complete,,4
matchup_002_opening_005_0,matchup_002,opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.2815573000116274,complete,,5
matchup_002_opening_005_1,matchup_002,opening_005,r1bqkb1r/ppp1pppp/3p1n2/8/1nB1P3/1PP5/P2P1PPP/RNBQK1NR w KQkq - 2 5,1,minic,Level=3,minic,Level=2,1/2-1/2,0.5,80,0.27268210001057014,complete,,5
matchup_002_opening_006_0,matchup_002,opening_006,r1b1k1nr/pppp1ppp/n3p3/6q1/1b6/P2P4/2PNPPPP/R1BQKBNR w KQkq - 0 5,0,minic,Level=2,minic,Level=3,1/2-1/2,0.5,80,0.26310699997702613,complete,,6
