population_id,anatomical_family,population_role,population_size,depth,validation_pair_accuracy,validation_top1_accuracy,validation_top3_accuracy,validation_mean_teacher_regret_cp,validation_mean_selected_teacher_rank,validation_mean_spearman,validation_mean_kendall,validation_mean_score_margin,validation_near_zero_unit_fraction,validation_saturated_unit_fraction,effective_rank,within_position_candidate_distance,mean_train_feature_std,mean_validation_score_margin_proxy
readout_central_computation_panel,central_computation_panel,readout,256,64,0.6995179432244242,0.1171875,0.3046875,5095.828125,13.359375,0.18007592165592612,0.12569758390494837,0.5382355116307735,0.0,0.014432491261004661,10.772134780883789,4.984854021361555,0.9999998807907104,8.65749740600586
readout_cre,cre,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_cre,cre,readout,256,2,0.009105516871987145,0.0546875,0.125,4351.5390625,15.703125,-0.009336757855902964,-0.015528555615388776,0.027330467477440834,0.99609375,0.00038637687726566545,1.0,0.08025528611334531,0.003906280267983675,1.1666778326034546
readout_cre,cre,readout,256,4,0.6762185324049277,0.1015625,0.3046875,5120.96875,13.46875,0.17633883447813886,0.12406457090707293,0.4843020779080689,2.022915587778353e-06,0.02334849171413775,27.726402282714844,6.673617309440606,1.0,10.482510566711426
readout_cre,cre,readout,256,8,0.7110337439742903,0.1015625,0.359375,5104.6484375,12.625,0.1804768904321202,0.12695555025416497,0.6056514694355428,1.0114577938891765e-06,0.0164473151864319,26.10773277282715,6.568804928526049,0.9999998807907104,8.695002555847168
readout_cre,cre,readout,256,16,0.7206748794858061,0.0859375,0.3515625,5085.5234375,12.2890625,0.18618749305980964,0.13061328378225376,0.6016214047558606,1.0114577938891765e-06,0.01626221841015018,25.205711364746094,6.515194727250444,0.9999998807907104,8.748700141906738
readout_cre,cre,readout,256,32,0.7155865024102839,0.09375,0.3515625,5091.4140625,12.515625,0.18113397818191937,0.12723664191152417,0.5755008501000702,0.0,0.015338757444329363,23.449657440185547,6.2383845720584885,0.9999998807907104,8.467071533203125
readout_cre,cre,readout,256,64,0.7040707016604177,0.078125,0.3046875,5097.2734375,12.9296875,0.16967076717263174,0.11951446428114318,0.4709981814958155,0.0,0.00765268966856551,10.617569923400879,5.376514876046418,1.0,6.904978275299072
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,0.9921875,0.0005775424003107198,1.8500005006790161,0.0,0.007812583819031715,0.0
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,4,0.7048741296197107,0.1015625,0.28125,5100.6796875,13.4921875,0.20602604863667426,0.14744094174339809,0.5415155729278922,1.0114577938891765e-06,0.009698868785603314,11.895920753479004,5.669562244953692,0.9999998807907104,8.353045463562012
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,8,0.6946973754686663,0.0703125,0.25,5110.6171875,14.1171875,0.17024788590714063,0.12004867630774185,0.43638350116088986,0.0,0.0070549181123770064,8.908987045288086,5.273437016329123,1.0,8.90821361541748
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,16,0.6880021424745582,0.078125,0.2421875,5113.0546875,13.734375,0.1653262601813295,0.11694975019861667,0.4234559740871191,3.0343733816675297e-06,0.008163475854479544,9.209210395812988,5.149874223850384,0.9999998807907104,9.266069412231445
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,32,0.6802356722013926,0.078125,0.21875,5092.7265625,13.15625,0.15133269079256728,0.10553469893050324,0.407085913233459,1.0114577938891765e-06,0.008362733039875713,9.569406509399414,4.993707375276978,0.9999999403953552,9.12125015258789
readout_dan_modulatory_mb,dan_modulatory_mb,readout,256,64,0.661756829137654,0.078125,0.2421875,5872.1796875,12.96875,0.14614823023935558,0.10412419754434873,0.3725747768767178,0.0,0.005485135616261004,8.931506156921387,4.867471827685412,0.9999998807907104,7.402438640594482
readout_delta7,delta7,readout,42,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_delta7,delta7,readout,42,2,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_delta7,delta7,readout,42,4,0.4970540974825924,0.109375,0.125,3543.671875,11.5703125,0.055076473793934454,0.040528634637338634,0.21739198139403015,0.2191992799191142,0.042027323617173436,2.373741388320923,0.37617338963232705,0.7380955815315247,9.659788131713867
readout_delta7,delta7,readout,42,8,0.5897161221210498,0.0703125,0.2109375,3543.8046875,14.453125,0.0012268543603042516,-0.002356268650671878,0.0899872196605429,6.165076077038791e-06,0.03870434761164953,1.3941320180892944,0.9938963806090373,1.0,2.289257764816284
readout_delta7,delta7,readout,42,16,0.5720407070166041,0.1015625,0.2421875,3529.7578125,13.796875,-0.0021515335035763436,-0.004569019974735262,0.13423467136453837,6.165076077038791e-06,0.014722201671968633,1.6848607063293457,1.094396512117178,0.9999998807907104,3.0645437240600586
readout_delta7,delta7,readout,42,32,0.5715050883770755,0.09375,0.2421875,3534.5859375,13.8515625,0.001962885409502938,-0.0019477327754355987,0.16133874864317477,0.0,0.011658158861680354,1.7593114376068115,1.130014631153855,1.0,3.1104462146759033
readout_delta7,delta7,readout,42,64,0.5749866095340118,0.0859375,0.2421875,3541.1640625,13.96875,0.0034503436711054254,-0.0013474402732866798,0.15875511104241014,0.0,0.012428793371310202,1.7534915208816528,1.1496945638183718,1.0,2.9856977462768555
readout_descending,descending,readout,256,1,0.0,0.0625,0.1171875,4347.421875,15.6953125,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
readout_descending,descending,readout,256,2,0.5899839314408142,0.078125,0.265625,5111.2421875,13.984375,0.06562683131167601,0.051726078437789653,0.3062053839676082,0.6912100271879855,0.006367126812532367,17.939348220825195,3.7631877329263492,0.30859482288360596,6.46314811706543
readout_descending,descending,readout,256,4,0.7512051419389395,0.140625,0.375,4271.796875,10.921875,0.2044718901084031,0.14667875415766962,0.7517276437720284,1.0114577938891765e-06,0.017330317840497152,31.039936065673828,7.796093462792435,0.9999998807907104,6.508980751037598
readout_descending,descending,readout,256,8,0.7487948580610605,0.140625,0.375,4275.453125,10.671875,0.20359105655888063,0.14587292871852764,0.7493492267094553,2.022915587778353e-06,0.015105110693940963,30.376996994018555,7.420227506214619,0.9999998807907104,7.001950740814209
readout_descending,descending,readout,256,16,0.7487948580610605,0.1328125,0.375,4282.515625,10.84375,0.20431933298695362,0.14625460609408786,0.7454998637549579,0.0,0.01503532010616261,30.125152587890625,7.430278978358294,0.9999998807907104,7.112336158752441
readout_descending,descending,readout,256,32,0.7504017139796465,0.140625,0.375,4281.4296875,10.8359375,0.2060139041897191,0.14749932527131854,0.7460528407245874,0.0,0.014319207988089073,28.833322525024414,7.237784594122635,0.9999998807907104,6.902475357055664
