game_id,matchup_id,opening_pair,opening_fen,game_in_pair,white_engine,white_setting,black_engine,black_setting,result,white_score,plies,elapsed_s,status,error,opening_pair_index
matchup_021_opening_001_0,matchup_021,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=21,minic,Level=22,1/2-1/2,0.5,80,0.3142546000308357,complete,,1
matchup_021_opening_001_1,matchup_021,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=22,minic,Level=21,1/2-1/2,0.5,80,0.2741029000026174,complete,,1
matchup_022_opening_000_0,matchup_022,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=22,minic,Level=23,1/2-1/2,0.5,80,0.30444370000623167,complete,,0
matchup_022_opening_000_1,matchup_022,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=23,minic,Level=22,1/2-1/2,0.5,80,0.27383739996002987,complete,,0
matchup_022_opening_001_0,matchup_022,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=22,minic,Level=23,1/2-1/2,0.5,80,0.2620669999741949,complete,,1
matchup_022_opening_001_1,matchup_022,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=23,minic,Level=22,1/2-1/2,0.5,80,0.27082809997955337,complete,,1
matchup_023_opening_000_0,matchup_023,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,0,minic,Level=23,minic,Level=24,1/2-1/2,0.5,80,0.3089400999597274,complete,,0
matchup_023_opening_000_1,matchup_023,opening_000,rn1qkb1r/2pppppp/bp3n2/p7/4B3/3PP3/PPP2PPP/RNBQK1NR w KQkq - 1 5,1,minic,Level=24,minic,Level=23,1/2-1/2,0.5,80,0.2918568000313826,complete,,0
matchup_023_opening_001_0,matchup_023,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,0,minic,Level=23,minic,Level=24,1/2-1/2,0.5,80,0.27125560003332794,complete,,1
matchup_023_opening_001_1,matchup_023,opening_001,rnbqkbnr/1p2pppp/8/p1pp4/6P1/N6P/PPPPPP2/R1BQKBNR w KQkq - 0 5,1,minic,Level=24,minic,Level=23,1/2-1/2,0.5,80,0.2757666999823414,complete,,1
