edge_offset,pre_index,post_index,pre_body_id,post_body_id,original_weight,original_sign,pre_in_kc_manifest,post_in_mbon_manifest,pre_out_degree,post_in_degree
8243574,47956,131147,64674,525780,0.0005611042724922299,1,True,True,56,318
8243579,47351,131147,63942,525780,0.0004488833947107196,1,True,True,48,318
8243602,44653,131147,60697,525780,0.0004488833947107196,1,True,True,57,318
8243604,44529,131147,60545,525780,0.0003366625460330397,1,True,True,44,318
8243617,43151,131147,58884,525780,0.0003366625460330397,1,True,True,48,318
8243620,42482,131147,58097,525780,0.0005611042724922299,1,True,True,53,318
8243629,40514,131147,55765,525780,0.0004488833947107196,1,True,True,46,318
8243636,39620,131147,54717,525780,0.0010099876672029495,1,True,True,48,318
8243639,39484,131147,54549,525780,0.0010099876672029495,1,True,True,53,318
8243641,39065,131147,54067,525780,0.0007855459116399288,1,True,True,58,318
8243656,37396,131147,52141,525780,0.0007855459116399288,1,True,True,55,318
8243667,36183,131147,50712,525780,0.0005611042724922299,1,True,True,43,318
8243671,36055,131147,50568,525780,0.0003366625460330397,1,True,True,41,318
8243674,35679,131147,50122,525780,0.0005611042724922299,1,True,True,55,318
8243679,35070,131147,49420,525780,0.0008977667894214392,1,True,True,32,318
8243686,34133,131147,48337,525780,0.0005611042724922299,1,True,True,33,318
8243691,33645,131147,47771,525780,0.0004488833947107196,1,True,True,51,318
8243701,32812,131147,46806,525780,0.0010099876672029495,1,True,True,53,318
8243707,31636,131147,45467,525780,0.0004488833947107196,1,True,True,32,318
8243708,31629,131147,45460,525780,0.0003366625460330397,1,True,True,36,318
8243712,31102,131147,44850,525780,0.001683312701061368,1,True,True,39,318
8243716,30922,131147,44647,525780,0.0013466501841321588,1,True,True,47,318
8243720,30226,131147,43856,525780,0.0006733250920660794,1,True,True,50,318
8243721,30189,131147,43811,525780,0.0005611042724922299,1,True,True,43,318
8243723,30037,131147,43639,525780,0.0003366625460330397,1,True,True,41,318
8243742,26344,131147,39456,525780,0.0004488833947107196,1,True,True,53,318
8243744,25718,131147,38746,525780,0.0005611042724922299,1,True,True,50,318
8243757,23333,131147,36043,525780,0.0006733250920660794,1,True,True,52,318
8243760,22845,131147,35489,525780,0.0007855459116399288,1,True,True,57,318
